Frm,Track,xc,yc,w,h,Velocity(kmph),,
21,1,2430,1485,96,128,25.31023169,,
21,9,2436,517,74,62,0.390530923,,
21,2,1942,862,134,70,35.69392322,,
21,19,3320,742,35,31,11.65147445,,
21,5,2491,404,86,49,1.013219387,,
22,12,3468,1911,176,97,2.480863492,,
22,20,3322,703,51,33,0,,
22,6,2477,456,88,49,1.46632489,,
22,13,1843,1301,43,87,13.18055654,,
22,4,2391,392,83,51,1.0653982,,
22,8,2527,643,75,65,1.038912318,,
22,10,2693,661,92,61,1.667083203,,
22,15,3632,647,108,42,3.238107912,,
22,14,1612,1416,106,47,25.45700058,,
22,11,2311,613,92,135,1.294867645,,
22,3,2324,994,134,71,36.66236998,,
22,7,2825,648,84,60,-0.174518736,,
22,1,2433,1494,97,127,25.7817849,,
22,9,2436,517,73,62,0.307075489,,
22,2,1954,862,134,70,35.61162188,,
22,19,3321,741,36,30,6.731137766,,
22,5,2491,404,86,49,0.829067517,,
23,12,3468,1911,176,97,1.989435469,,
23,20,3323,703,52,33,2.905463614,,
23,6,2476,457,87,48,2.038226133,,
23,13,1843,1297,43,87,13.02537293,,
23,4,2391,392,83,51,0.871067302,,
23,8,2527,643,75,65,0.856994469,,
23,10,2693,661,92,60,1.397721775,,
23,15,3633,648,109,44,3.533415376,,
23,14,1621,1418,105,48,25.75565406,,
23,11,2311,614,91,135,1.499517669,,
23,3,2337,994,134,71,36.95324919,,
23,7,2825,648,84,61,-0.221966376,,
23,1,2436,1503,96,129,26.18552247,,
23,9,2436,517,72,61,0.235854701,,
23,2,1966,863,135,71,35.56016671,,
23,19,3321,740,40,28,3.628561246,,
23,5,2492,404,86,49,1.21897874,,
24,12,3468,1911,176,97,1.565316585,,
24,20,3326,704,50,33,9.163850845,,
24,6,2477,457,88,49,2.307090986,,
24,13,1845,1292,44,88,13.6251102,,
24,4,2391,392,83,51,0.702373247,,
24,8,2527,643,75,65,0.698593036,,
24,10,2693,661,92,60,1.161684497,,
24,15,3633,647,109,43,3.544525642,,
24,14,1629,1422,105,47,25.8645931,,
24,11,2311,614,91,135,1.14701211,,
24,3,2350,994,134,72,37.20120534,,
24,7,2825,648,84,61,-0.258105651,,
24,1,2438,1511,96,129,25.86691347,,
24,9,2436,517,73,62,0.174998229,,
24,2,1978,863,134,71,35.49023883,,
24,19,3318,740,47,28,4.644271434,,
24,5,2491,404,86,49,1.556824336,,
24,16,1623,1420,43,48,28.78488763,,
25,12,3468,1911,175,97,1.199023216,,
25,20,3327,704,50,33,5.028470367,,
25,6,2477,457,88,48,2.009694437,,
25,13,1846,1288,45,90,13.47867065,,
25,4,2390,392,84,51,1.08073462,,
25,8,2527,643,75,65,0.560432752,,
25,10,2693,661,91,60,0.954373273,,
25,15,3633,647,109,43,2.997576228,,
25,14,1637,1425,103,45,25.74598594,,
25,11,2311,614,91,135,0.844399942,,
25,3,2362,994,135,73,36.88736598,,
25,7,2825,648,84,61,-0.284660796,,
25,1,2441,1520,97,130,26.23508184,,
25,9,2436,517,72,62,0.123029186,,
25,2,1990,863,135,70,35.4265213,,
25,19,3317,739,54,28,3.427651272,,
25,5,2491,404,86,49,1.324899664,,
25,16,1625,1423,44,46,24.04840725,,
26,12,3468,1911,176,97,0.882983487,,
26,20,3328,704,50,33,3.558319504,,
26,6,2476,457,87,48,2.256289134,,
26,13,1847,1284,46,88,13.3402577,,
26,4,2391,392,83,51,1.414419897,,
26,8,2526,643,75,65,0.955728051,,
26,10,2692,661,92,59,1.287962292,,
26,15,3633,648,111,45,3.052358436,,
26,14,1645,1427,102,48,25.48429873,,
26,11,2311,615,92,135,1.100905367,,
26,3,2375,994,135,73,37.12134453,,
26,7,2825,648,84,61,-0.303043781,,
26,1,2444,1528,96,129,26.06875388,,
26,9,2435,516,72,62,0.808242398,,
26,2,2002,864,134,70,35.38976823,,
26,19,3320,739,56,28,4.435634873,,
26,5,2492,404,86,49,1.633718063,,
26,21,1941,34,33,68,0,,
26,16,1634,1425,48,48,24.65746259,,
27,12,3468,1911,176,98,0.611056375,,
27,20,3330,703,50,32,5.082146809,,
27,6,2476,457,87,48,1.959902682,,
27,13,1849,1280,48,87,13.38673969,,
27,4,2391,392,83,51,1.200440669,,
27,8,2526,643,75,65,0.798336975,,
27,10,2692,661,92,59,1.075482389,,
27,15,3633,648,111,45,2.570601442,,
27,14,1652,1431,106,51,25.1564943,,
27,11,2311,616,92,136,1.335280843,,
27,3,2388,995,136,73,37.34330872,,
27,7,2825,648,84,61,-0.314436246,,
27,1,2447,1537,96,129,26.39578555,,
27,9,2435,516,71,61,0.696609128,,
27,2,2014,865,135,70,35.35548336,,
27,19,3321,738,55,29,3.577153495,,
27,5,2492,404,86,49,1.396472367,,
27,21,1941,38,35,77,11.62185445,,
27,16,1641,1429,53,51,24.30862057,,
28,12,3468,1911,175,98,0.378171359,,
28,20,3335,704,41,32,10.24168116,,
28,6,2476,456,88,49,2.191361531,,
28,13,1852,1276,48,88,13.68550011,,
28,4,2391,392,83,52,1.007989607,,
28,8,2526,643,75,65,0.65786221,,
28,10,2692,661,92,58,0.885868876,,
28,15,3634,648,111,45,2.658647977,,
28,14,1659,1436,104,50,25.13480476,,
28,11,2311,618,92,138,2.051253821,,
28,3,2401,995,137,73,37.51585957,,
28,7,2825,648,84,60,-0.319848531,,
28,1,2449,1545,95,130,26.05970357,,
28,9,2436,517,73,62,1.304993101,,
28,2,2025,865,134,70,34.80081146,,
28,19,3323,739,52,29,3.768391182,,
28,5,2491,404,86,48,1.684081538,,
28,21,1943,44,38,88,18.41212633,,
29,12,3467,1911,176,99,0.676703316,,
29,20,3340,703,36,30,13.17368622,,
29,6,2476,456,88,50,1.896127545,,
29,13,1853,1273,48,84,13.03208791,,
29,4,2391,393,83,52,1.331837864,,
29,8,2526,643,75,65,0.532750162,,
29,10,2692,661,92,56,0.717019669,,
29,15,3634,648,111,45,2.226350403,,
29,14,1668,1439,101,51,25.55507446,,
29,11,2311,619,92,139,2.197779797,,
29,3,2414,995,136,73,37.66355352,,
29,7,2825,649,83,60,0.176483846,,
29,1,2450,1552,94,130,25.17065143,,
29,9,2437,517,74,63,1.640669192,,
29,2,2037,866,134,70,34.82197252,,
29,19,3323,738,53,29,2.873027151,,
29,5,2491,404,86,48,1.442047121,,
29,21,1946,51,40,98,22.69384876,,
29,16,1656,1435,55,49,24.04293884,,
30,12,3466,1911,175,99,0.954544262,,
30,20,3342,703,35,28,11.1677088,,
30,6,2476,455,87,51,2.118017399,,
30,13,1854,1267,47,87,13.87648445,,
30,4,2391,393,84,53,1.12952558,,
30,8,2526,643,75,64,0.42169522,,
30,10,2690,661,89,54,1.552094337,,
30,15,3634,649,112,45,2.341909457,,
30,14,1677,1442,101,54,25.93195891,,
30,11,2312,620,93,140,2.533039855,,
30,3,2426,995,137,72,37.29650245,,
30,7,2825,650,83,58,0.62534518,,
30,1,2453,1560,96,131,25.09634993,,
30,9,2437,517,74,63,1.44407151,,
30,2,2048,866,133,70,34.32996413,,
30,19,3323,738,57,28,1.417226346,,
30,5,2491,404,86,48,1.221726862,,
30,21,1949,61,42,103,29.67700201,,
30,16,1664,1440,54,52,24.71609762,,
31,12,3467,1911,175,98,1.212282957,,
31,20,3345,703,34,28,10.89898307,,
31,6,2476,455,87,52,1.824294653,,
31,13,1856,1263,48,85,13.84336758,,
31,4,2390,393,84,52,1.434997826,,
31,8,2526,642,75,64,0.812699069,,
31,10,2690,661,89,54,1.326631485,,
31,15,3635,649,113,46,2.445217636,,
31,14,1684,1447,99,55,25.83597817,,
31,11,2312,621,94,141,2.630907092,,
31,3,2439,996,137,71,37.46721854,,
31,7,2825,649,83,59,1.02984945,,
31,1,2456,1569,97,130,25.49284231,,
31,9,2437,517,73,62,1.260904953,,
31,2,2062,866,136,70,35.35690796,,
31,19,3324,738,60,28,1.086088653,,
31,5,2491,404,87,48,1.021836636,,
31,21,1952,72,42,103,34.20393764,,
31,16,1672,1444,47,52,24.96861629,,
32,12,3466,1911,175,99,1.450402,,
32,20,3346,704,34,31,9.080157178,,
32,6,2476,455,88,52,1.554495406,,
32,13,1857,1258,48,86,14.10950473,,
32,4,2390,393,85,52,1.223301762,,
32,8,2526,642,75,65,0.680822908,,
32,10,2688,660,85,53,2.208410909,,
32,15,3635,649,114,46,2.044822996,,
32,14,1692,1451,96,56,25.9116444,,
32,11,2312,622,95,140,2.716310876,,
32,3,2452,996,135,70,37.59776455,,
32,7,2825,650,83,58,1.392733802,,
32,1,2459,1577,96,131,25.39389875,,
32,9,2437,517,73,63,1.090958698,,
32,2,2075,866,139,70,35.80051447,,
32,19,3324,738,63,31,0.138336874,,
32,5,2491,404,87,48,0.841254087,,
32,21,1954,84,42,107,37.47807156,,
32,16,1680,1448,52,52,25.1807746,,
33,12,3466,1911,175,99,1.18486473,,
33,20,3348,704,34,31,8.305661355,,
33,6,2476,454,87,52,1.792334186,,
33,13,1858,1254,46,85,13.86893842,,
33,4,2389,393,86,52,1.514206441,,
33,8,2526,642,75,65,0.561370136,,
33,10,2689,660,90,57,2.404812843,,
33,15,3635,649,114,46,1.683935864,,
33,14,1701,1455,97,58,26.41494254,,
33,11,2312,622,94,139,2.305773658,,
33,3,2464,996,136,71,37.22585674,,
33,7,2825,649,83,59,1.716494836,,
33,1,2462,1585,94,131,25.3043217,,
33,9,2437,517,74,63,0.934038063,,
33,2,2086,866,138,70,35.23022493,,
33,19,3328,736,51,30,2.469855666,,
33,5,2491,404,87,48,0.678954959,,
33,21,1955,95,40,107,37.6436503,,
33,16,1688,1452,54,53,25.3601586,,
34,12,3466,1911,175,99,0.94660293,,
34,20,3348,704,36,31,5.992263944,,
34,6,2476,454,87,53,1.523639054,,
34,13,1860,1250,47,83,13.81053056,,
34,4,2389,393,86,52,1.293710845,,
34,23,2675,700,53,31,0,,
34,8,2526,642,76,65,0.45378644,,
34,10,2690,661,91,55,2.775871606,,
34,15,3635,649,114,47,1.360124529,,
34,14,1707,1460,96,60,25.88239052,,
34,11,2312,622,93,137,1.930706106,,
34,3,2477,996,136,71,37.36641467,,
34,7,2825,649,84,60,1.520547981,,
34,1,2464,1594,95,131,25.54993288,,
34,9,2437,516,74,63,1.272869516,,
34,2,2097,866,136,70,34.70938826,,
34,19,3332,735,46,30,4.167760698,,
34,5,2491,403,87,48,1.016906021,,
34,21,1958,106,39,104,38.01670214,,
35,12,3466,1911,176,99,0.734234714,,
35,20,3349,704,38,31,5.051320047,,
35,6,2476,454,87,53,1.277631593,,
35,13,1863,1245,47,85,14.40524994,,
35,4,2390,393,86,53,1.573006003,,
35,23,2676,700,53,31,2.905463614,,
35,8,2526,642,76,65,0.357518188,,
35,10,2690,661,91,54,2.423378873,,
35,15,3635,649,114,47,1.071170962,,
35,14,1715,1464,95,61,25.93954906,,
35,11,2313,623,92,136,2.271465859,,
35,3,2490,996,136,72,37.49084912,,
35,7,2825,649,83,58,1.335299689,,
35,1,2467,1603,96,130,25.90231714,,
35,9,2436,516,73,62,1.579071654,,
35,2,2110,866,137,70,35.20016983,,
35,19,3334,735,45,30,4.258948764,,
35,5,2492,403,87,48,1.326028461,,
35,21,1960,117,39,103,37.89269142,,
36,12,3466,1911,176,100,0.546361984,,
36,20,3348,704,43,29,4.329751564,,
36,6,2476,454,88,53,1.053850515,,
36,13,1864,1240,48,86,14.58686693,,
36,4,2390,393,86,52,1.344514442,,
36,23,2676,700,52,32,0.042212319,,
36,8,2526,642,76,64,0.271998551,,
36,10,2691,661,92,55,2.575157182,,
36,15,3635,648,114,45,1.297922198,,
36,14,1722,1469,95,62,25.82442982,,
36,11,2313,624,92,135,2.383342725,,
36,3,2503,996,136,72,37.60013009,,
36,7,2825,650,83,58,1.642372493,,
36,1,2470,1611,97,130,25.76796532,,
36,9,2437,516,74,63,1.853914516,,
36,2,2121,866,136,70,34.68637089,,
36,19,3340,736,48,29,6.805412123,,
36,5,2491,403,87,48,1.606952677,,
36,21,1963,129,37,104,38.90809537,,
37,12,3466,1911,175,98,0.38155413,,
37,20,3347,704,51,29,3.769859645,,
37,6,2476,454,87,53,0.851700695,,
37,13,1867,1236,49,86,14.6948097,,
37,4,2390,393,85,52,1.134218064,,
37,23,2678,700,55,34,4.365541483,,
37,8,2526,642,76,64,0.196640406,,
37,10,2691,661,92,55,2.22643073,,
37,15,3635,647,114,44,1.510225495,,
37,14,1729,1474,94,64,25.71716158,,
37,11,2313,625,91,136,2.484441863,,
37,3,2516,997,136,72,37.7136825,,
37,7,2826,650,83,57,1.917215632,,
37,1,2474,1619,95,131,25.8352679,,
37,9,2438,517,76,65,2.297751186,,
37,2,2133,867,137,70,34.71929761,,
